номер,сцена,кто,текст,откуда взято,позиция в сведении,"длительность, с"
d8,1,Кэфи,"они сказали «мы, наверное, не пойдём»… они всегда слышат в моём «ну ладно» то, что им удобно.",кэфи.mp3 4.51-19.82,00:00.6,15.31
000,1,Кэфи,"и главное — зачем. это не контрольная. это даже не сложный урок. все занимаются какой то хуйней они прогуливают сорок минут, чтобы через сорок минут делать то же самое, только виноватыми",кэфи.mp3 21.13-32.54,00:16.6,11.41
d20,1,Кэфи,не смотреть.,кэфи.mp3 33.59-35.66,00:28.8,2.07
001,1,Кэфи,о нет.,— пауза —,00:32.2,0.86
002,1,Кэфи,"идти. куда-то. есть. и от этого будет счастье. (пауза) (с облегчением) это не аргумент, Энер. это меню.",кэфи.mp3 36.45-45.78,00:34.2,9.33
003,1,Кэфи,что они пытались донести... он просто показал мне две руки.,кэфи.mp3 47.45-51.70,00:44.5,4.25
d47,1,Кэфи,…бля.,кэфи.mp3 53.44-54.81,00:50.7,1.37
004,1,Кэфи,— можно выйти?,кэфи.mp3 55.75-56.98,00:52.6,1.23
005,1,Учитель,— иди.,— пауза —,00:54.1,0.71
006,1,Учитель,— Кэфи.,— пауза —,00:56.1,0.78
007,1,Учитель,— ты с рюкзаком выходишь?,— пауза —,00:57.4,2.17
008,1,Кэфи,(прояжно и невинно) — нет.,кэфи.mp3 58.18-60.28,00:59.9,2.10
009,1,Учитель,— у тебя за спиной рюкзак.,— пауза —,01:03.0,2.25
010,1,Кэфи,— я его выношу.,кэфи.mp3 61.55-63.23,01:05.6,1.68
011,1,Учитель,— куда?,— пауза —,01:07.7,0.78
012,1,Кэфи,— …в коридор.,кэфи.mp3 65.16-66.57,01:08.8,1.41
013,1,Учитель,— иди уже.,— пауза —,01:12.4,1.02
014,2,Кэфи,—и куда мы таким составом,кэфи.mp3 67.67-69.64,01:16.0,1.97
015,2,Энер,"— так, во-первых, здравствуй, я тоже очень рада тебя видеть",энер.wav 1.24-4.38,01:18.3,3.14
016,2,Флур,— мы,— пауза —,01:21.8,0.60
017,2,Энер,— во-вторых — мы чуть не спалились пока пытались вытащить ТЕБЯ из кабинета,энер.wav 5.39-9.93,01:22.7,4.54
018,2,Кэфи,"—это все ооочень интересно, но что вы задумали",кэфи.mp3 70.51-74.11,01:27.6,3.60
019,2,Энер,— короче. мы уходим.,энер.wav 10.85-12.37,01:31.7,1.52
020,2,Кэфи,— куда.,кэфи.mp3 75.41-76.05,01:33.6,0.64
021,2,Энер,— из школы.,энер.wav 13.82-14.64,01:34.6,0.82
022,2,Кэфи,— куда.,кэфи.mp3 77.19-78.79,01:35.8,1.60
023,2,Энер,"— это второй вопрос! ты задаёшь второй вопрос первым, а надо сначала прочувствовать сам факт: мы. уходим. из школы. (пауза) (воодушевленно) чувствуешь?",энер.wav 29.40-38.97 + энер.wav 41.76-43.00,01:37.7,11.81
024,2,Кэфи,— нет.,кэфи.mp3 79.64-81.23,01:49.9,1.59
025,2,Энер,"— окей, подождем",энер.wav 44.37-45.38,01:51.8,1.01
026,2,Флур,"(с сарказмом) — слушай, я тебе честно скажу, я сам сначала был против, я вот прямо стоял и говорил «Энер, это тупо, нас поймают, нас вычислят, нам напишут в журнал, а потом моей маме позвонят и скажут — знаете, ваш сын…» начинает посмеиваться",untitled.mp3 0.00-15.12,01:53.3,15.12
027,2,Кэфи,— у нас ещё три урока.,кэфи.mp3 82.94-84.80,02:08.8,1.86
028,2,Флур,— тупая ты бошка,untitled.mp3 16.24-17.78,02:11.0,1.54
029,2,Энер,— вот!,энер.wav 47.40-48.04,02:12.9,0.64
030,2,Кэфи,— что «вот»?,кэфи.mp3 85.95-87.06,02:13.9,1.11
031,2,Энер,"(с сарказмом) — вот именно, что ТРИ! это же ужас, если вдуматься. три урока — это два с половиной часа. два с половиной часа мы будем сидеть в трёх разных комнатах, смотреть в три разные доски и ждать одного и того же — когда всё закончится. а на улице сейчас, между прочим, солнце. вот прямо сейчас. я в окно смотрела на втором этаже — там свет такой, знаешь, косой, когда всё жёлтое. (с наигранной грустью) и он через два часа кончится. просто кончится, и всё, и никто его больше сегодня не увидит. (пауза) и мы будем те, кто его не увидел.",энер.wav 48.77-72.78,02:15.3,24.01
032,2,Флур,(без удивления) — ты это отрепетировала?,untitled.mp3 18.45-20.16,02:40.5,1.71
033,2,Энер,— конечно я это отрепетировала.,энер.wav 75.81-77.51,02:42.6,1.70
034,2,Кэфи,— а если нас хватятся?,кэфи.mp3 88.10-90.00,02:44.7,1.90
035,2,Флур,"— вот! вот этот вопрос я тоже задавал! слово в слово! я говорю — а если хватятся? а она мне: кто? и я такой: ну… кто-нибудь. а она: назови. и я не смог назвать! я стоял, как дурак, и не мог назвать ни одного человека, который сегодня будет нас искать. это, если честно, было даже немного обидно.",untitled.mp3 20.73-41.01,02:46.9,20.28
d101,2,Флур,[смех],untitled.mp3 41.32-45.38,03:07.5,4.06
036,2,Кэфи,"—все, хватит",кэфи.mp3 91.29-92.81,03:12.1,1.52
037,2,Кэфи,— рюкзаки оставим тут?,кэфи.mp3 93.60-95.75,03:14.3,2.15
038,2,Энер,— …зачем?,энер.wav 81.69-82.77,03:17.6,1.08
039,2,Кэфи,(растерянно) —ну.. я думал мы вернемся?...,кэфи.mp3 96.06-98.55,03:19.0,2.49
040,2,Флур,—...нахуя?,— пауза —,03:21.9,1.09
041,2,Энер,"—короче, проехали, идем с рюкзаками. сомневаюсь что мы сегодня вернемся сегодня",энер.wav 85.56-89.15,03:23.3,3.59
042,2,Кэфи,— но так шансов больше что нас-,кэфи.mp3 100.32-102.37,03:27.3,2.05
043,2,Флур,"—меньше слов, больше дела",untitled.mp3 45.92-48.01,03:29.6,2.09
044,3,Флур,"— так, и мы идём куда конкретно? я просто хочу заранее знать, чтобы, если меня спросят, я мог соврать уверенно. у меня плохо получается врать на ходу",untitled.mp3 52.20-62.36,03:34.2,10.16
045,3,Энер,"(спокойно) — скажешь, что мы пошли за водой.",энер.wav 100.73-102.66,03:44.8,1.93
046,3,Флур,— за водой?,untitled.mp3 63.04-63.95,03:47.0,0.91
047,3,Энер,"— все ходят за водой, неопровержимо. вода нужна всем.",энер.wav 103.44-106.58,03:48.3,3.14
048,3,Флур,— за водой на четыре часа?,untitled.mp3 64.77-66.90,03:51.8,2.13
049,3,Энер,— мы оооочень хотели пить.,энер.wav 107.09-109.01,03:54.3,1.92
050,3,Флур,"— слушайте, а ведь красиво реально…",untitled.mp3 67.58-69.74,03:57.1,2.16
051,3,Организатор,— так. вот они нам нужны.,— пауза —,04:00.1,2.17
052,3,Флур,— …кто?,untitled.mp3 70.83-72.02,04:02.6,1.19
053,3,Организатор,— вы.,— пауза —,04:04.2,0.63
054,3,Энер,— мы?,энер.wav 114.29-114.89,04:05.1,0.60
055,3,Организатор,— трое. идеально. пошли.,— пауза —,04:06.1,2.09
056,3,Организатор,— я сказал: пошли.,— пауза —,04:08.8,1.63
057,3,Флур,"— извините, а можно узнать—",untitled.mp3 72.61-74.71,04:11.1,2.10
058,3,Организатор,— в шесть вечера в зале будут люди. (пауза) в программе несколько номеров.,— пауза —,04:13.3,6.02
059,3,Флур,— и?,untitled.mp3 75.53-76.23,04:19.7,0.70
060,3,Организатор,— никого не осталось,— пауза —,04:20.7,1.78
061,3,Флур,— а куда они делись то,untitled.mp3 77.29-78.51,04:22.8,1.22
062,3,Организатор,— сбежали.,— пауза —,04:24.4,1.02
063,3,Кэфи,— …сбежали.,кэфи.mp3 113.60-114.71,04:26.6,1.11
064,3,Организатор,"— полным составом. час назад. сказали «мы сейчас», взяли реквизит и ушли через хозяйственный выход.",— пауза —,04:28.1,7.78
065,3,Энер,— через хозяйственный…,энер.wav 120.95-122.48,04:36.2,1.53
066,3,Организатор,— не восхищайся.,— пауза —,04:38.1,1.48
067,3,Организатор,"— значит так. мне нужен один номер. любой. сценка, песня, что угодно — лишь бы на сцене что-то происходило и это не было пожаром.",— пауза —,04:40.1,10.02
068,3,Флур,— а почему мы?,untitled.mp3 79.49-80.68,04:50.4,1.19
069,3,Организатор,"— потому что вы шли к выходу втроём в середине дня. (смотрит на них) и я решил, что раз уж кто-то сегодня сбегает — пусть хоть кто-то останется.",— пауза —,04:52.0,9.86
070,3,Кэфи,"попытался найти отговорку, но не смог",кэфи.mp3 115.73-118.78,05:03.2,3.05
071,3,Организатор,— вот лист с информацией,— пауза —,05:06.6,2.09
072,3,Организатор,"— зал ваш до пяти. свет включается снизу, рубильник у сцены. если сломаете микрофон, вам будет хуже.",— пауза —,05:09.2,7.94
073,3,Флур,— …мы вышли из школы?,untitled.mp3 81.95-83.58,05:17.8,1.63
074,3,Энер,— технически мы вышли из класса.,энер.wav 126.76-128.69,05:19.8,1.93
075,3,Флур,— я не про технически..,untitled.mp3 84.20-86.20,05:22.0,2.00
076,3,Энер,— экзистенциально мы в жопе.,энер.wav 129.41-130.72,05:24.4,1.31
077,3,Флур,— ты куда?,untitled.mp3 86.96-87.95,05:26.2,0.99
078,3,Кэфи,— посмотреть что мы имеем вообще,кэфи.mp3 120.39-122.25,05:27.5,1.86
079,3,Флур,— зачем?!,untitled.mp3 88.82-89.63,05:29.7,0.81
080,3,Кэфи,"— потому что через четыре часа мы должны быть готовы, так то",кэфи.mp3 123.45-126.86,05:30.9,3.41
081,4,Энер,"— ЕБАТЬ, тут эхо!",энер.wav 142.09-143.42,05:36.9,1.33
082,4,Флур,— ты не могла проверить эхо чем-нибудь другим?,untitled.mp3 90.84-93.19,05:38.7,2.35
083,4,Энер,— я проверила самым надёжным словом,энер.wav 144.80-146.73,05:41.4,1.93
084,4,Флур,— ты куда?,untitled.mp3 94.54-95.27,05:44.0,0.73
085,4,Кэфи,— свет.,кэфи.mp3 128.40-129.08,05:45.1,0.68
086,4,Флур,"(цитируя) —жена сказала света нет.. кхм.. нам сначала надо придумать, ЧТО мы делаем.",untitled.mp3 96.20-101.63,05:46.1,5.43
087,4,Кэфи,— вам — да.,кэфи.mp3 129.98-131.19,05:51.9,1.21
088,4,Кэфи,— …бля.,кэфи.mp3 132.39-133.97,05:53.9,1.58
089,4,Энер,— танец.,энер.wav 148.68-149.27,05:56.3,0.59
